id,name,target,bobot,created_at,updated_at,position_id
23,Ac,14,20,2024-09-10 04:55:41,2024-09-10 07:45:18,3
24,B,3,45,2024-09-10 04:55:41,2024-09-10 07:48:07,3
25,Tingkat presensi,26,15,2024-09-11 06:29:58,2024-09-11 06:29:58,4
26,Inisiasi Continuous Improvement,8,20,2024-09-11 06:29:58,2024-09-11 06:29:58,4
27,Tingkat Defect SPK,5,15,2024-09-11 06:29:58,2024-09-11 06:29:58,4
28,Tingkat Defect SPK Per Output,5,20,2024-09-11 06:29:58,2024-09-11 06:29:58,4
29,Ketepatan Pengerjaan Sesuai Deadline,91,20,2024-09-11 06:29:58,2024-09-11 06:29:58,4
30,Form Inspeksi,100,10,2024-09-11 06:29:58,2024-09-11 06:29:58,4
